timeIdx,timeIdx,endDate,hPres,lPres,nProf,psalMean,psalStd,startDate,tempMean,tempStd,depthMin,depthMax,depthIdx
155,155,2018-03-09,40,30,44,36.45297674699263,0.09761350918850586,2018-02-04,16.973045457493175,0.5142378547845573,30,40,3
156,156,2018-04-11,40,30,54,36.44781480012117,0.11385606383884946,2018-03-10,17.074481522595438,0.6369587267953053,30,40,3
157,157,2018-05-14,40,30,7,36.50071389334543,0.2738409274690259,2018-04-12,17.399285997663224,1.3987246041269734,30,40,3
0,0,2004-02-03,50,40,3,36.41720453898112,0.07095948411712957,2004-01-01,17.116666158040367,0.3543690108827757,40,50,4
1,1,2004-03-08,50,40,4,36.39224624633789,0.10477969771110186,2004-02-04,16.91225004196167,0.6343885720152858,40,50,4
2,2,2004-04-11,50,40,4,36.41275310516357,0.06866363301370244,2004-03-09,16.789750099182132,0.3291068068876281,40,50,4
3,3,2004-05-14,50,40,9,36.46162796020508,0.11103781253762096,2004-04-12,16.98300001356337,0.5943494618672411,40,50,4
4,4,2004-06-16,50,40,9,36.46568764580621,0.11406959237848045,2004-05-15,17.295555538601345,0.5813623751929428,40,50,4
5,5,2004-07-19,50,40,8,36.4892807006836,0.15948104301149615,2004-06-17,18.11050009727478,0.854370358770675,40,50,4
6,6,2004-08-21,50,40,11,36.517934972589664,0.15041368118655646,2004-07-20,19.75409108942205,1.2965826176638302,40,50,4
7,7,2004-09-23,50,40,9,36.5132327609592,0.17050216581164565,2004-08-22,20.522222095065647,1.5565139318115058,40,50,4
8,8,2004-10-26,50,40,8,36.747550010681145,0.17837427483229676,2004-09-24,22.324625253677368,0.7320818378460752,40,50,4
9,9,2004-11-28,50,40,11,36.65013538707387,0.1886770467292357,2004-10-27,20.42572715065696,1.3324058725481203,40,50,4
10,10,2004-12-31,50,40,8,36.520381450653076,0.21551175780256668,2004-11-29,17.978999853134155,1.3013071300226295,40,50,4
11,11,2005-02-03,50,40,9,36.42766571044922,0.2091426563309016,2005-01-01,16.68155574798584,1.1636562256860756,40,50,4
12,12,2005-03-09,50,40,9,36.349331325954864,0.1626934538557909,2005-02-04,15.89099989997016,0.9705666216871224,40,50,4
13,13,2005-04-11,50,40,8,36.262345314025886,0.1485095217676901,2005-03-10,15.632749915122984,0.7690022384151946,40,50,4
14,14,2005-05-14,50,40,11,36.32259623209635,0.22204083986573087,2005-04-12,16.1937273198908,1.2036956472605336,40,50,4
15,15,2005-06-16,50,40,12,36.38258743286133,0.20624459715074908,2005-05-15,17.501166502634685,1.1751716913133217,40,50,4
16,16,2005-07-19,50,40,9,36.38053512573242,0.20519538987847505,2005-06-17,18.052666982014973,1.2731529883086676,40,50,4
17,17,2005-08-21,50,40,9,36.4924570719401,0.1197742355398934,2005-07-20,19.732777913411454,0.6630379255454109,40,50,4
18,18,2005-09-23,50,40,9,36.614976247151695,0.1935351320846831,2005-08-22,19.798555798000763,2.2567406777881183,40,50,4
19,19,2005-10-26,50,40,22,36.40597714875874,0.2553520208632088,2005-09-24,19.370045488530934,2.19711884755086,40,50,4
20,20,2005-11-28,50,40,16,36.4377498626709,0.19800768962318566,2005-10-27,19.434812784194946,1.1370809948025131,40,50,4
